Invoice ID,Branch,City,Customer type,Product line,Date,Time,Total
750-67-8428,A,Yangon,Member,Health and beauty,1/5/19,13:08,548.9715
226-31-3081,C,Naypyitaw,Normal,Electronic accessories,3/8/19,10:29,80.22
631-41-3108,A,Yangon,Normal,Home and lifestyle,3/3/19,13:23,340.5255
123-19-1176,A,Yangon,Member,Health and beauty,1/27/19,20:33,489.048
373-73-7910,A,Yangon,Normal,Sports and travel,2/8/19,10:37,634.3785
699-14-3026,C,Naypyitaw,Normal,Electronic accessories,3/25/19,18:30,627.6165
355-53-5943,A,Yangon,Member,Electronic accessories,2/25/19,14:36,433.692
315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,2/24/19,11:38,772.38
665-32-9167,A,Yangon,Member,Health and beauty,1/10/19,17:15,76.146
692-92-5582,B,Mandalay,Member,Food and beverages,2/20/19,13:27,172.746
351-62-0822,B,Mandalay,Member,Fashion accessories,2/6/19,18:07,60.816
529-56-3974,B,Mandalay,Member,Electronic accessories,3/9/19,17:03,107.142
365-64-0515,A,Yangon,Normal,Electronic accessories,2/12/19,10:25,246.4875
252-56-2699,A,Yangon,Normal,Food and beverages,2/7/19,16:48,453.495
829-34-3910,A,Yangon,Normal,Health and beauty,3/29/19,19:21,749.49
299-46-1805,B,Mandalay,Member,Sports and travel,1/15/19,16:19,590.436
656-95-9349,A,Yangon,Member,Health and beauty,3/11/19,11:03,506.6355
765-26-6951,A,Yangon,Normal,Sports and travel,1/1/19,10:39,457.443
329-62-1586,A,Yangon,Normal,Food and beverages,1/21/19,18:00,172.2105
319-50-3348,B,Mandalay,Normal,Home and lifestyle,3/11/19,15:30,84.63
300-71-4605,C,Naypyitaw,Member,Electronic accessories,2/25/19,11:24,451.71
371-85-5789,B,Mandalay,Normal,Health and beauty,3/5/19,10:40,277.137
273-16-6619,B,Mandalay,Normal,Home and lifestyle,3/15/19,12:20,69.72
636-48-8204,A,Yangon,Normal,Electronic accessories,2/17/19,11:15,181.44
