Invoice ID,Branch,City,Customer type,Product line,Quantity,Tax 5%,Total,Date
750-67-8428,A,Yangon,Member,Health and beauty,7,26.1415,548.9715,1/5/19
226-31-3081,C,Naypyitaw,Normal,Electronic accessories,5,3.82,80.22,3/8/19
631-41-3108,A,Yangon,Normal,Home and lifestyle,7,16.2155,340.5255,3/3/19
123-19-1176,A,Yangon,Member,Health and beauty,8,23.288,489.048,1/27/19
373-73-7910,A,Yangon,Normal,Sports and travel,7,30.2085,634.3785,2/8/19
699-14-3026,C,Naypyitaw,Normal,Electronic accessories,7,29.8865,627.6165,3/25/19
355-53-5943,A,Yangon,Member,Electronic accessories,6,20.652,433.692,2/25/19
315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,10,36.78,772.38,2/24/19
665-32-9167,A,Yangon,Member,Health and beauty,2,3.626,76.146,1/10/19
692-92-5582,B,Mandalay,Member,Food and beverages,3,8.226,172.746,2/20/19
351-62-0822,B,Mandalay,Member,Fashion accessories,4,2.896,60.816,2/6/19
529-56-3974,B,Mandalay,Member,Electronic accessories,4,5.102,107.142,3/9/19
365-64-0515,A,Yangon,Normal,Electronic accessories,5,11.7375,246.4875,2/12/19
252-56-2699,A,Yangon,Normal,Food and beverages,10,21.595,453.495,2/7/19
829-34-3910,A,Yangon,Normal,Health and beauty,10,35.69,749.49,3/29/19
299-46-1805,B,Mandalay,Member,Sports and travel,6,28.116,590.436,1/15/19
656-95-9349,A,Yangon,Member,Health and beauty,7,24.1255,506.6355,3/11/19
765-26-6951,A,Yangon,Normal,Sports and travel,6,21.783,457.443,1/1/19
329-62-1586,A,Yangon,Normal,Food and beverages,3,8.2005,172.2105,1/21/19
319-50-3348,B,Mandalay,Normal,Home and lifestyle,2,4.03,84.63,3/11/19
300-71-4605,C,Naypyitaw,Member,Electronic accessories,5,21.51,451.71,2/25/19
371-85-5789,B,Mandalay,Normal,Health and beauty,3,13.197,277.137,3/5/19
273-16-6619,B,Mandalay,Normal,Home and lifestyle,2,3.32,69.72,3/15/19
636-48-8204,A,Yangon,Normal,Electronic accessories,5,8.64,181.44,2/17/19
549-59-1358,A,Yangon,Member,Sports and travel,3,13.2945,279.1845,3/2/19
227-03-5010,A,Yangon,Member,Home and lifestyle,8,21.036,441.756,3/22/19
649-29-6775,B,Mandalay,Normal,Fashion accessories,1,1.676,35.196,2/8/19
189-17-4241,A,Yangon,Normal,Fashion accessories,2,8.767,184.107,3/10/19
145-94-9061,B,Mandalay,Normal,Food and beverages,5,22.09,463.89,1/25/19
848-62-7243,A,Yangon,Normal,Health and beauty,9,11.2005,235.2105,3/15/19
871-79-8483,B,Mandalay,Normal,Fashion accessories,5,23.5325,494.1825,2/25/19
149-71-6266,B,Mandalay,Member,Sports and travel,9,35.1315,737.7615,1/28/19
640-49-2076,B,Mandalay,Normal,Sports and travel,8,33.512,703.752,1/10/19
595-11-5460,A,Yangon,Normal,Health and beauty,2,9.658,202.818,3/15/19
183-56-6882,C,Naypyitaw,Member,Food and beverages,4,19.884,417.564,2/6/19
232-16-2483,C,Naypyitaw,Member,Sports and travel,1,3.406,71.526,1/7/19
129-29-8530,A,Yangon,Member,Sports and travel,5,15.655,328.755,3/10/19
272-65-1806,A,Yangon,Normal,Electronic accessories,9,27.396,575.316,1/15/19
333-73-7901,C,Naypyitaw,Normal,Health and beauty,8,21.968,461.328,3/23/19
777-82-7220,B,Mandalay,Member,Home and lifestyle,8,12.048,253.008,3/3/19
280-35-5823,B,Mandalay,Member,Home and lifestyle,1,4.336,91.056,1/17/19
